.	{NotreDame_De_Paris.txt=294, Miserables.txt=1855}
bailiwick	{NotreDame_De_Paris.txt=3}
baker	{NotreDame_De_Paris.txt=3, Miserables.txt=12}
balcony	{NotreDame_De_Paris.txt=19, Miserables.txt=5}
bale	{Miserables.txt=1}
ballast	{NotreDame_De_Paris.txt=1}
balustrades	{NotreDame_De_Paris.txt=3}
banners	{NotreDame_De_Paris.txt=5, Miserables.txt=1}
barbaric	{Miserables.txt=1}
bare-armed	{Miserables.txt=2}
barge	{NotreDame_De_Paris.txt=1}
barkers	{Miserables.txt=1}
barns	{NotreDame_De_Paris.txt=1, Miserables.txt=2}
barrels	{NotreDame_De_Paris.txt=1, Miserables.txt=5}
barricaded	{NotreDame_De_Paris.txt=2, Miserables.txt=10}
barring	{NotreDame_De_Paris.txt=1, Miserables.txt=2}
bas-reliefs,--she	{NotreDame_De_Paris.txt=1}
bases	{NotreDame_De_Paris.txt=2, Miserables.txt=1}
basket--that	{Miserables.txt=1}
basket-handle	{Miserables.txt=1}
bass	{NotreDame_De_Paris.txt=4, Miserables.txt=1}
bateau	{NotreDame_De_Paris.txt=1}
bated	{Miserables.txt=1}
battering-ram	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
battle	{NotreDame_De_Paris.txt=10, Miserables.txt=125}
bayonet	{Miserables.txt=15}
bd-el-Kader	{Miserables.txt=1}
beak	{NotreDame_De_Paris.txt=3, Miserables.txt=7}
beckoned	{NotreDame_De_Paris.txt=1}
bed.---The	{NotreDame_De_Paris.txt=1}
bees	{NotreDame_De_Paris.txt=3, Miserables.txt=11}
began	{NotreDame_De_Paris.txt=120, Miserables.txt=232}
begaye	{Miserables.txt=1}
beheld	{NotreDame_De_Paris.txt=110, Miserables.txt=148}
beholds	{NotreDame_De_Paris.txt=5, Miserables.txt=22}
belief	{NotreDame_De_Paris.txt=1, Miserables.txt=9}
belle	{NotreDame_De_Paris.txt=2, Miserables.txt=1}
belongs	{NotreDame_De_Paris.txt=9, Miserables.txt=22}
bend	{NotreDame_De_Paris.txt=3, Miserables.txt=15}
benefactors	{Miserables.txt=1}
benefit	{NotreDame_De_Paris.txt=2, Miserables.txt=12}
bequeath	{Miserables.txt=2}
bergere	{Miserables.txt=2}
beside	{NotreDame_De_Paris.txt=42, Miserables.txt=112}
besiege	{NotreDame_De_Paris.txt=1}
best,--permission	{Miserables.txt=1}
best-planned	{Miserables.txt=1}
bestows	{Miserables.txt=4}
bete	{Miserables.txt=1}
betimes	{Miserables.txt=2}
betook	{NotreDame_De_Paris.txt=3, Miserables.txt=8}
betrothal	{NotreDame_De_Paris.txt=1}
betwixt	{NotreDame_De_Paris.txt=2}
beverages	{Miserables.txt=1}
bibs	{NotreDame_De_Paris.txt=1}
bien	{NotreDame_De_Paris.txt=1, Miserables.txt=5}
bill-stickers	{Miserables.txt=1}
billowing	{Miserables.txt=2}
billows	{NotreDame_De_Paris.txt=1, Miserables.txt=7}
birds	{NotreDame_De_Paris.txt=13, Miserables.txt=49}
biscaien	{Miserables.txt=4}
blackening	{Miserables.txt=1}
blasphemed	{Miserables.txt=1}
blast	{Miserables.txt=4}
bleating	{NotreDame_De_Paris.txt=4}
blind-alley	{Miserables.txt=2}
blindly	{NotreDame_De_Paris.txt=2, Miserables.txt=4}
blink	{Miserables.txt=1}
blockading	{NotreDame_De_Paris.txt=1}
blood-red	{Miserables.txt=1}
blowing	{NotreDame_De_Paris.txt=5, Miserables.txt=14}
blunderbuss	{Miserables.txt=1}
blurred	{Miserables.txt=1}
blushes	{Miserables.txt=2}
boarding-irons	{Miserables.txt=1}
boat's	{NotreDame_De_Paris.txt=1}
bodices	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
bohemia	{Miserables.txt=1}
bold	{NotreDame_De_Paris.txt=9, Miserables.txt=25}
bombum	{NotreDame_De_Paris.txt=1}
bones	{NotreDame_De_Paris.txt=9, Miserables.txt=17}
bonheur	{Miserables.txt=1}
bonte	{Miserables.txt=1}
book--to	{Miserables.txt=1}
booths	{NotreDame_De_Paris.txt=1, Miserables.txt=4}
bore	{NotreDame_De_Paris.txt=16, Miserables.txt=60}
borealis	{Miserables.txt=1}
botchers	{NotreDame_De_Paris.txt=1}
bought	{NotreDame_De_Paris.txt=2, Miserables.txt=13}
boule	{Miserables.txt=1}
boullayes	{NotreDame_De_Paris.txt=1}
bourgeois	{NotreDame_De_Paris.txt=37, Miserables.txt=98}
bowels	{NotreDame_De_Paris.txt=1, Miserables.txt=5}
bowing	{NotreDame_De_Paris.txt=1, Miserables.txt=3}
bowls	{NotreDame_De_Paris.txt=3, Miserables.txt=3}
boys	{NotreDame_De_Paris.txt=5, Miserables.txt=16}
brackets	{Miserables.txt=1}
braggadocio	{Miserables.txt=1}
bran	{Miserables.txt=1}
brand-new	{Miserables.txt=2}
bread-winner	{Miserables.txt=1}
breathlessly	{NotreDame_De_Paris.txt=1}
breezes	{Miserables.txt=2}
brewing	{Miserables.txt=1}
briars	{Miserables.txt=1}
bricks	{Miserables.txt=5}
brigand's	{NotreDame_De_Paris.txt=1}
brigands	{NotreDame_De_Paris.txt=3, Miserables.txt=5}
brique	{Miserables.txt=1}
bristling	{NotreDame_De_Paris.txt=10, Miserables.txt=22}
broadside	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
broken-crock	{NotreDame_De_Paris.txt=1}
brood	{Miserables.txt=1}
brooks	{NotreDame_De_Paris.txt=1, Miserables.txt=2}
brother	{NotreDame_De_Paris.txt=65, Miserables.txt=90}
brutalize	{Miserables.txt=1}
buds	{Miserables.txt=2}
built--the	{Miserables.txt=1}
bulb	{Miserables.txt=1}
bullets	{NotreDame_De_Paris.txt=2, Miserables.txt=28}
bumping	{NotreDame_De_Paris.txt=1}
bunch	{NotreDame_De_Paris.txt=1, Miserables.txt=7}
bundles	{NotreDame_De_Paris.txt=4}
burgomasters	{NotreDame_De_Paris.txt=4}
burn	{NotreDame_De_Paris.txt=13, Miserables.txt=12}
burnt,"--this	{Miserables.txt=1}
bursting	{NotreDame_De_Paris.txt=9, Miserables.txt=11}
bursts	{NotreDame_De_Paris.txt=4, Miserables.txt=11}
bury	{NotreDame_De_Paris.txt=3, Miserables.txt=7}
buse	{Miserables.txt=1}
bushes	{NotreDame_De_Paris.txt=1, Miserables.txt=9}
busied	{Miserables.txt=6}
butter-pot	{Miserables.txt=2}
buttonhole	{Miserables.txt=2}
cabinet-maker's	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
cadaver	{Miserables.txt=1}
calamity	{NotreDame_De_Paris.txt=2, Miserables.txt=3}
calash	{Miserables.txt=4}
calculator	{Miserables.txt=1}
caleur	{Miserables.txt=1}
calm	{NotreDame_De_Paris.txt=12, Miserables.txt=60}
camels	{Miserables.txt=1}
camouflet[42	{Miserables.txt=1}
camp-fires	{Miserables.txt=1}
campaign	{Miserables.txt=9}
can't	{NotreDame_De_Paris.txt=2, Miserables.txt=28}
candidates	{Miserables.txt=1}
cannon-ball	{Miserables.txt=10}
cannons	{NotreDame_De_Paris.txt=3, Miserables.txt=15}
canticorum	{NotreDame_De_Paris.txt=1}
cantonments	{Miserables.txt=1}
canvasses	{Miserables.txt=1}
cap!"--"Oh	{Miserables.txt=1}
caprices	{NotreDame_De_Paris.txt=2, Miserables.txt=2}
capstan	{NotreDame_De_Paris.txt=1, Miserables.txt=2}
captain's	{NotreDame_De_Paris.txt=12}
car	{Miserables.txt=2}
carabineers	{Miserables.txt=3}
carbonaro	{Miserables.txt=1}
cardinalship	{Miserables.txt=1}
carioles	{Miserables.txt=1}
carnal	{Miserables.txt=1}
carpeted	{NotreDame_De_Paris.txt=1}
carried	{NotreDame_De_Paris.txt=25, Miserables.txt=101}
carrying	{NotreDame_De_Paris.txt=9, Miserables.txt=30}
cart-wheels	{Miserables.txt=3}
carter	{NotreDame_De_Paris.txt=1, Miserables.txt=13}
cartouche	{Miserables.txt=1}
caryatids	{Miserables.txt=2}
case	{NotreDame_De_Paris.txt=23, Miserables.txt=170}
case--the	{Miserables.txt=1}
cashier	{Miserables.txt=7}
catalogue	{NotreDame_De_Paris.txt=2, Miserables.txt=1}
categorically	{Miserables.txt=1}
caterpillar	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
caufflaire's	{Miserables.txt=3}
causa	{NotreDame_De_Paris.txt=1}
caution	{Miserables.txt=2}
cavallo	{NotreDame_De_Paris.txt=1}
cavity	{NotreDame_De_Paris.txt=2, Miserables.txt=6}
ccept	{Miserables.txt=1}
cclesiastes	{Miserables.txt=3}
ccount	{NotreDame_De_Paris.txt=1}
celebration	{Miserables.txt=2}
cellar	{NotreDame_De_Paris.txt=13, Miserables.txt=36}
cents	{Miserables.txt=1}
century	{NotreDame_De_Paris.txt=68, Miserables.txt=120}
cepticism	{Miserables.txt=1}
cerate	{NotreDame_De_Paris.txt=1}
cerebral	{Miserables.txt=1}
certain--What	{Miserables.txt=1}
certified	{NotreDame_De_Paris.txt=1}
cetera	{Miserables.txt=1}
chains	{NotreDame_De_Paris.txt=19, Miserables.txt=19}
chair	{NotreDame_De_Paris.txt=14, Miserables.txt=68}
chamberlain	{NotreDame_De_Paris.txt=3, Miserables.txt=2}
chances	{Miserables.txt=9}
channels	{NotreDame_De_Paris.txt=1, Miserables.txt=1}
chaos	{NotreDame_De_Paris.txt=7, Miserables.txt=20}
chapels	{NotreDame_De_Paris.txt=4, Miserables.txt=2}
chaplain	{Miserables.txt=3}
char	{Miserables.txt=1}
characterized	{Miserables.txt=4}
charnachtal	{NotreDame_De_Paris.txt=1}
chase	{Miserables.txt=6}
checker-board	{NotreDame_De_Paris.txt=2, Miserables.txt=1}
cherisheth	{NotreDame_De_Paris.txt=1}
cherries	{Miserables.txt=4}
cherubim	{NotreDame_De_Paris.txt=1, Miserables.txt=3}
cherubs	{Miserables.txt=1}
chestnut	{Miserables.txt=8}
chestnut-tree	{Miserables.txt=4}
chews	{NotreDame_De_Paris.txt=1}
chickens[55	{Miserables.txt=1}
chides	{Miserables.txt=1}
chief-justice's	{Miserables.txt=1}
childishness	{Miserables.txt=2}
children--go	{Miserables.txt=1}
chilled	{NotreDame_De_Paris.txt=8, Miserables.txt=17}
chimaera	{Miserables.txt=2}
chime	{NotreDame_De_Paris.txt=5}
chimerical	{NotreDame_De_Paris.txt=1, Miserables.txt=9}
chiselling	{NotreDame_De_Paris.txt=1}
chiél	{NotreDame_De_Paris.txt=2}
choir-boy	{NotreDame_De_Paris.txt=1}
choisir	{Miserables.txt=1}
choking	{Miserables.txt=4}
choristers	{Miserables.txt=1}
church,--"Alas	{NotreDame_De_Paris.txt=1}
church-bell	{Miserables.txt=1}
circle	{NotreDame_De_Paris.txt=31, Miserables.txt=21}
citizens	{NotreDame_De_Paris.txt=3, Miserables.txt=10}
claims	{NotreDame_De_Paris.txt=1}
clairvoyance	{Miserables.txt=1}
clamor	{NotreDame_De_Paris.txt=11, Miserables.txt=11}
clanging	{NotreDame_De_Paris.txt=1}
